Company,"Specific Bean Origin
or Bar Name",REF,"Review
Date","Cocoa
Percent",Location,Rating,"Bean
Type","Broad Bean
Origin"
Pacari,Tangara,1415,2014,70%,Ecuador,4, ,Ecuador
Amano,Guayas,470,2010,70%,U.S.A.,4, ,Ecuador
Patric,Madagascar,196,2007,70%,U.S.A.,4,Trinitario,Madagascar
Arete,Phantom,1924,2016,70%,U.S.A.,4,Forastero (Nacional),Peru
Amedei,Nine,111,2007,75%,Italy,4,Blend, 
Artisan du Chocolat,Haiti,729,2011,72%,U.K.,4, ,Haiti
Valrhona,Guanaja,63,2006,70%,France,4,"Criollo, Trinitario",South America
Claudio Corallo,Terreiro Velho P.,227,2008,75%,Sao Tome,4,Forastero,Sao Tome & Principe
Cacao Sampaka,Papua,523,2010,71%,Spain,4, ,Papua New Guinea
Scharffen Berger,San Juan de Cheni,959,2012,78%,U.S.A.,4, ,Peru
Heirloom Cacao Preservation (Zokoko),"Wild Beni, Lower Rio Beni, Tranquilidad, 2015",1744,2016,72%,U.S.A.,4,Beniano,Bolivia
Fresco,"Bellavista Coop, #225, LR, MC, CG Exclusive",1149,2013,70%,U.S.A.,4,Trinitario,Peru
Cacao Sampaka,"Porcelana, Tabasco, La Joya",336,2009,70%,Spain,4,Criollo,Mexico
Bar Au Chocolat,Maranon Canyon,1295,2014,70%,U.S.A.,4,Forastero (Nacional),Peru
Fresco,"Sambirano Valley, #216, MR, LC",915,2012,74%,U.S.A.,4,Trinitario,Madagascar
Arete,Chuno,1598,2015,70%,U.S.A.,4,"Criollo, Trinitario",Nicaragua
Fresco,"Markham Valley, #220, MR, MC",927,2012,69%,U.S.A.,4,Trinitario,Papua New Guinea
Santander (Compania Nacional),Colombian Dark,32,2006,70%,Colombia,4,Forastero (Nacional),Colombia
Scharffen Berger,Asante,336,2009,65%,U.S.A.,4,Forastero,Ghana
Fresco,"Chuao, #217, DR, MC",745,2011,70%,U.S.A.,4,Trinitario,Venezuela
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,60%,Brazil,4,Forastero (Parazinho),Brazil
Hotel Chocolat,"Marcial, single Cote, 2012",1030,2013,70%,U.K.,4,Trinitario,St. Lucia
Felchlin,"Alto Beni, Cru Savage",56,2006,68%,Switzerland,4,Criollo (Wild),Bolivia
Cacao Sampaka,"Xoconusco, Chiapas",346,2009,70%,Spain,4,Criollo,Mexico
Amedei,Toscano Black,75,2006,66%,Italy,4,Blend, 
Pralus,Fortissima,93,2006,80%,France,4,"Criollo, Trinitario",Ecuador
Ocelot,Piura,1558,2015,75%,Scotland,4,Criollo,Peru
Amedei,Madagascar,123,2007,70%,Italy,4,Trinitario (85% Criollo),Madagascar
Pralus,Jamaique,32,2006,75%,France,4,Trinitario,Jamaica
Durci,Corona Arriba,1630,2015,70%,U.S.A.,4, ,Ecuador
Amano,Morobe,725,2011,70%,U.S.A.,4, ,Papua New Guinea
Patric,"Piura, Choc. Garage Exclusive",1034,2013,67%,U.S.A.,4, ,Peru
Danta,Las Acacias E.,987,2012,70%,Guatemala,4,Criollo,Guatemala
Castronovo,"Maya Mtn, Batch 454, Heirloom",1724,2016,72%,U.S.A.,4,Trinitario,Belize
Bonnat,"Porcelana, Venezuela",199,2008,75%,France,4,Criollo (Porcelana),Venezuela
Valrhona,"Porcelana, Pedegral",757,2011,64%,France,4,Criollo,Venezuela
Domori,Porcelana,111,2007,70%,Italy,4,Criollo (Porcelana),Venezuela
Michel Cluizel,Mangaro P.,24,2006,65%,France,4,Trinitario,Madagascar
A. Morin,Chanchamayo Province,1019,2013,63%,France,4, ,Peru
Michel Cluizel,Maralumi P.,24,2006,64%,France,4, ,Papua New Guinea
Pierre Marcolini,"Sambirano, Ambanja, Madagascar",141,2007,72%,Belgium,4,Trinitario,Madagascar
A. Morin,Chuao,1015,2013,70%,France,4,Trinitario,Venezuela
Valrhona,"Otucan, Grand Cru",931,2012,69%,France,4, ,Venezuela
"Smooth Chocolator, The",Camino Verde,1622,2015,72%,Australia,4, ,Ecuador
Pierre Marcolini,"Porcelana, Tabasco, Limited Ed.",81,2006,72%,Belgium,4,Criollo,Mexico
Soma,Porcelana,1594,2015,75%,Canada,4, ,Venezuela
Pierre Marcolini,"Ocumare, Puerto Cabello, Venezuela",93,2006,72%,Belgium,4,Criollo,Venezuela
A. Morin,Pablino,1319,2014,70%,France,4, ,Peru
Valrhona,"Piura, Illanka, Quemazon",1510,2015,63%,France,4, ,Peru
Bonnat,"Madagascar, 100% criollo",629,2011,75%,France,4,Criollo,Madagascar
Soma,"Tien Giang, Black S., batch VIT60420.0",1828,2016,70%,Canada,4,Trinitario,Vietnam
Bonnat,Haiti,629,2011,75%,France,4, ,Haiti
Just Good Chocolate,Peru,1375,2014,70%,U.S.A.,4, ,Peru
Pacari,"Sierra Nevada, Tutu Iku",1848,2016,70%,Ecuador,4, ,Colombia
Michel Cluizel,Los Ancones P.,24,2006,67%,France,4, ,Dominican Republic
Domori,Ecuador,192,2007,70%,Italy,4,Forastero (Arriba),Ecuador
Madecasse (Cinagra),Madagascar,284,2008,63%,Madagascar,4,Trinitario,Madagascar
Valrhona,Manjari,129,2007,64%,France,4,"Criollo, Trinitario",Madagascar
Matale,"Somia, 2013",1177,2013,68%,Australia,4,Trinitario,Madagascar
Matale,"Kulili P., 2013",1177,2013,74%,Australia,4,Trinitario,Papua New Guinea
Willie's Cacao,Los Llanos,1848,2016,70%,U.K.,4, ,Colombia
Soma,"Bachelor's Hall E., St. Thomas Parish",1177,2013,70%,Canada,4,Trinitario,Jamaica
Soma,Equator,1081,2013,67%,Canada,4, ,"Peru, Dom. Rep"
Soma,"Maracaibo, El Vigia",1077,2013,70%,Canada,4,Criollo,Venezuela
Idilio (Felchlin),"Porcelana, Zulia",733,2011,74%,Switzerland,4,Criollo,Venezuela
Soma,Crazy 88,1077,2013,88%,Canada,4, ,"Guat., D.R., Peru, Mad., PNG"
Idilio (Felchlin),"Carenero Superior, Urrutia, Barlovento",737,2011,70%,Switzerland,4,Trinitario,Venezuela
Idilio (Felchlin),Coopertiva Amazona w/ nibs,737,2011,72%,Switzerland,4,Criollo,Venezuela
Bonnat,"Ocumare, Puerto Cabello",32,2006,75%,France,4, ,Venezuela
Arete,"Coto Brus, Terciopelo",1908,2016,70%,U.S.A.,4, ,Costa Rica
Bonnat,Chuao,81,2006,75%,France,4,Trinitario,Venezuela
Duffy's,"Rio Dulce, Xoco",1662,2015,70%,U.K.,4,Criollo,Guatemala
Domori,"Ocumare 67, Puertofino",192,2007,70%,Italy,4,Criollo (Ocumare 67),Venezuela
Bonnat,"Maracaibo, El Rosario",48,2006,75%,France,4,Criollo,Venezuela
L.A. Burdick (Felchlin),Brazil,891,2012,70%,U.S.A.,4, ,Brazil
Bonnat,Madagascar,75,2006,75%,France,4,Trinitario,Madagascar
Pierre Marcolini,Cabosse,111,2007,70%,Belgium,4,Blend,"Venezuela, Java"
Pralus,Claudio Corallo w/ nibs,162,2007,75%,France,4,Forastero,Sao Tome
Idilio (Felchlin),"Sur del Lago, Amiari Meridena, Zulia, w/ nibs",737,2011,72%,Switzerland,4, ,Venezuela
Rogue,"Caranero, Choc. Garage Exclusive",1446,2015,70%,U.S.A.,3.75, ,Venezuela
Republica del Cacao (aka Confecta),Los Rios,170,2007,75%,Ecuador,3.75,Forastero (Arriba),Ecuador
Heirloom Cacao Preservation (Guittard),"Los Rios, Hacienda Limon, Orecao, 2014",1243,2014,67%,U.S.A.,3.75,EET,Ecuador
Rogue,Porcelana,1209,2014,80%,U.S.A.,3.75,Criollo,Venezuela
Heirloom Cacao Preservation (Guittard),"Maunawili, O'ahu, Agri Research C., 2014",1243,2014,67%,U.S.A.,3.75, ,Hawaii
Ritual,"Toledo District, Maya",1089,2013,75%,U.S.A.,3.75,Trinitario,Belize
Ritual,"Camino Verde P., Balao, 2015 harvest, batch8",1860,2016,75%,U.S.A.,3.75, ,Ecuador
Rogue,"La Masica, Batch 1, FHIA Research Center",1748,2016,75%,U.S.A.,3.75, ,Honduras
Hummingbird,Amazonas,1097,2013,70%,Canada,3.75,Forastero,Venezuela
Cacao Sampaka,Ecuador,523,2010,71%,Spain,3.75, ,Ecuador
Heirloom Cacao Preservation (Zokoko),"Alto Beni, Upper Rio Beni, 2015",1744,2016,68%,U.S.A.,3.75,"Amazon, ICS",Bolivia
Kakao,Vanuatu,387,2009,65%,Germany,3.75,Trinitario,Vanuatu
Bonnat,Libanio,629,2011,75%,France,3.75, ,Brazil
Potomac,"Upala, Batch 12",607,2010,82%,U.S.A.,3.75,Matina,Costa Rica
Un Dimanche A Paris,Dominican Republic,709,2011,63%,France,3.75, ,Dominican Republic
Bonnat,Trinite,24,2006,75%,France,3.75,Trinitario,Carribean
Idilio (Felchlin),"Ocumare, H. Cata, 48hr c.",733,2011,72%,Switzerland,3.75,Criollo,Venezuela
Brasstown aka It's Chocolate,"O'payo, Waslala",1868,2016,70%,U.S.A.,3.75, ,Nicaragua
Brasstown aka It's Chocolate,Conacado,1462,2015,68%,U.S.A.,3.75, ,Dominican Republic
Brasstown aka It's Chocolate,Maya Mountain,1255,2014,70%,U.S.A.,3.75,Trinitario,Belize
Idilio (Felchlin),"Sur del Lago, Amiari Meridena, Zulia, 48hr c.",725,2011,72%,Switzerland,3.75, ,Venezuela
Idilio (Felchlin),Coopertiva Amazona,725,2011,72%,Switzerland,3.75,Criollo,Venezuela
Idilio (Felchlin),"Chuao, Venezuela",1085,2013,72%,Switzerland,3.75,Trinitario,Venezuela
Hummingbird,Hispaniola,1311,2014,70%,Canada,3.75,Trinitario,Dominican Republic
Timo A. Meyer,"Belize, med roast",1836,2016,72%,Germany,3.75,"Trinitario, TCGA",Belize
Pralus,"Madagascar, Nosy Be Isle.",5,2006,75%,France,3.75,Criollo,Madagascar
Terroir,Uganda,1323,2014,73%,U.S.A.,3.75,Forastero,Uganda
Terroir,Madagascar,1323,2014,67%,U.S.A.,3.75,Trinitario,Madagascar
Holy Cacao,Hispaniola w/ nibs,431,2009,75%,Israel,3.75, ,Dominican Republic
Terroir,Guatemala,1558,2015,70%,U.S.A.,3.75,Trinitario,Guatemala
Terroir,Madagascar,1478,2015,70%,U.S.A.,3.75,Trinitario,Madagascar
Cacao de Origen,"Chuao, Aragua region",1395,2014,70%,Venezuela,3.75,Trinitario,Venezuela
Cacao Hunters,Macondo,1816,2016,71%,Colombia,3.75, ,Colombia
Cacao Hunters,Perla Negra,1816,2016,74%,Colombia,3.75, ,Colombia
Cacao Hunters,Arhuacos,1662,2015,72%,Colombia,3.75, ,Colombia
Terroir,Belize,1478,2015,70%,U.S.A.,3.75,Trinitario,Belize
Cacao Prieto,"Criollo, Dominican Republic",991,2012,72%,U.S.A.,3.75,Criollo,Dominican Republic
Cacao Prieto,Dominican Republic,641,2011,66%,U.S.A.,3.75, ,Dominican Republic
Guittard,"Epique, Blend No. 49",1602,2015,70%,U.S.A.,3.75, , 
A. Morin,Agua Grande,1876,2016,63%,France,3.75, ,Sao Tome
Captain Pembleton,Kulili Estate,1263,2014,70%,New Zealand,3.75, ,Papua New Guinea
Soma,"Sangre Grande P., Trinidad",1073,2013,70%,Canada,3.75,Trinitario,Trinidad
Duffy's,Ocumare,923,2012,72%,U.K.,3.75, ,Venezuela
Duffy's,"Indio Rojo, Xoco",623,2011,72%,U.K.,3.75,Criollo,Honduras
Dandelion,"San Francisco de Macoris, Cibao region",1387,2014,70%,U.S.A.,3.75, ,Dominican Republic
Soma,Patanemo,1077,2013,70%,Canada,3.75,Criollo,Venezuela
"Smooth Chocolator, The",Australia,1864,2016,67%,Australia,3.75, ,Australia
Dandelion,"Zorzal Reserva, 2015 H., Kerchner",1816,2016,70%,U.S.A.,3.75, , 
Duffy's,"Corazon del Ecuador, Calceta beans",516,2010,72%,U.K.,3.75, ,Ecuador
Duffy's,Star of Peru,523,2010,70%,U.K.,3.75, ,Peru
Creo,"""heirloom"", Arriba Nacional",1736,2016,73%,U.S.A.,3.75,Forastero (Nacional),Ecuador
"Smooth Chocolator, The","Maya Mtn, Moho R., Toledo D.",1756,2016,70%,Australia,3.75, ,Belize
East Van Roasters,Dominican Republic,1343,2014,70%,Canada,3.75, ,Dominican Republic
Soma,O'ahu,833,2012,70%,Canada,3.75, ,Hawaii
Soma,Carenero Superior,951,2012,70%,Canada,3.75,Trinitario,Venezuela
"Smooth Chocolator, The","Guasare, La Sierra de Perija, batch gua001",1740,2016,70%,Australia,3.75,Criollo,Venezuela
Coppeneur,Chuao 70hr,451,2009,70%,Germany,3.75,"Criollo, Trinitario",Venezuela
El Ceibo,"Alto Beni, Covendo Region",709,2011,75%,Bolivia,3.75, ,Bolivia
El Rey,San Joaquin,1662,2015,70%,Venezuela,3.75, ,Venezuela
Duffy's,"Rico Rugoso, Xoco",1331,2014,76%,U.K.,3.75,Criollo,Nicaragua
Dandelion,"Elvesia, 2011",915,2012,70%,U.S.A.,3.75, ,Dominican Republic
Sirene,"Somia Plantation, 2012",1339,2014,73%,Canada,3.75,Trinitario,Madagascar
"Smooth Chocolator, The",Kokoa Kamili,1622,2015,67%,Australia,3.75, ,Tanzania
Debauve & Gallais (Michel Cluizel),Venezuela,263,2008,66%,France,3.75, ,Venezuela
Dick Taylor,"Alto Beni, Wild Harvest, Limited Ed.",1634,2015,70%,U.S.A.,3.75, ,Bolivia
Soma,"Abstract S. w/ Jamaica nibs,batch abs60323.0",1828,2016,75%,Canada,3.75, ,"Ven.,Ecu.,Peru,Nic."
Soma,"Chuno, San Jose de Bocay, Pantasma R.,B.S.",1828,2016,70%,Canada,3.75,Trinitario,Nicaragua
Dole (Guittard),"O'ahu, N. Shore, Waialua Estate",311,2009,70%,U.S.A.,3.75, ,Hawaii
Domori,Hacienda Victoria,1672,2015,70%,Italy,3.75, ,Ecuador
Domori,Ocumare 77,1672,2015,70%,Italy,3.75,Criollo (Ocumare 77),Venezuela
"Smooth Chocolator, The","Chuao, batch 3",1666,2015,70%,Australia,3.75,Trinitario,Venezuela
Soma,Maranon Canyon,1259,2014,70%,Canada,3.75,Forastero (Nacional),Peru
Domori,Guasare,863,2012,70%,Italy,3.75,Criollo,Venezuela
Domori,Ilblend,272,2008,70%,Italy,3.75,Blend, 
Soma,"Espiritu Santo, 'Smoke Monster'",1307,2014,70%,Canada,3.75,Forastero (Amelonado),Vanuatu
Soma,"Rizek Cacao, Domin. Rep.",1019,2013,77%,Canada,3.75,Trinitario,Dominican Republic
Domori,"Java, Javablond",192,2007,70%,Italy,3.75,Criollo,Indonesia
Danta,Sambirano,987,2012,70%,Guatemala,3.75,Trinitario,Madagascar
Danta,Los Ujuxtes,987,2012,70%,Guatemala,3.75, ,Guatemala
"Smooth Chocolator, The",San Juan Estate,1622,2015,70%,Australia,3.75,Trinitario,Trinidad
Sirene,"Camino Verde P., Balao, Guayas",1343,2014,73%,Canada,3.75, ,Ecuador
Sirene,"Somia Plantation, 2012",1339,2014,67%,Canada,3.75,Trinitario,Madagascar
Rogue,"Bachelor's Hall E., St. Thomas Parish",1193,2013,75%,U.S.A.,3.75,Trinitario,Jamaica
"Chocolate Tree, The",Carenero Superior,1582,2015,80%,Scotland,3.75,Trinitario,Venezuela
Chocolate Makers,"Peru, Awagum bar",1530,2015,80%,Amsterdam,3.75,Criollo,Peru
Scharffen Berger,Markham Valley,781,2011,68%,U.S.A.,3.75, ,Papua New Guinea
Spencer,"Madagascar, lot M0403R",1792,2016,70%,Australia,3.75, ,Madagascar
Bonnat,Surfin,1418,2014,65%,France,3.75, ,"Venez,Africa,Brasil,Peru,Mex"
Fresco,"San Martin, Bellavista Coop, #226, DR, MC",1117,2013,70%,U.S.A.,3.75, ,Peru
Chocola'te,Venezuela,647,2011,68%,U.S.A.,3.75, ,Venezuela
Chocola'te,Madagascar,647,2011,70%,U.S.A.,3.75,Trinitario,Madagascar
Szanto Tibor,"Winak, Sumaco",1704,2015,70%,Hungary,3.75,Forastero (Nacional),Ecuador
Friis Holm (Bonnat),"Rugoso, Xoco",923,2012,70%,Denmark,3.75, ,Nicaragua
Szanto Tibor,Baracoa,1263,2014,70%,Hungary,3.75,Trinitario,Cuba
Fruition,"Wild Bolivian, Batch 2",1780,2016,74%,U.S.A.,3.75,Beniano,Bolivia
Fruition,Gran Couva,1347,2014,70%,U.S.A.,3.75,Trinitario,Trinidad
Fruition,La Red,1046,2013,70%,U.S.A.,3.75, ,Dominican Republic
Castronovo,"Duarte, Batch 360",1570,2015,70%,U.S.A.,3.75,"Criollo, Trinitario",Domincan Republic
Szanto Tibor,"Ayacucho, ""El Guinacho""",939,2012,70%,Hungary,3.75, ,Peru
Rogue,Piura,565,2010,75%,U.S.A.,3.75, ,Peru
Rogue,"Camino Verde P., Balao, Guayas",979,2012,75%,U.S.A.,3.75,Nacional (Arriba),Ecuador
"Chocolate Tree, The",Maranon,1582,2015,69%,Scotland,3.75,Forastero (Nacional),Peru
"Chocolate Tree, The",Peru,1121,2013,70%,Scotland,3.75,Forastero (Nacional),Peru
Sirene,"Esmeraldas, Salazar Farm",1860,2016,73%,Canada,3.75, ,Ecuador
Spencer,"Ecuador, lot E432314L",1792,2016,70%,Australia,3.75, ,Ecuador
Coppeneur,Uba Budo,821,2012,72%,Germany,3.75,Forastero,Sao Tome & Principe
Soma,"Elvesia P., Black Science",682,2011,70%,Canada,3.75,Forastero,Dominican Republic
Soma,Black Science Blend 1,607,2010,70%,Canada,3.75,"Trinitario, Nacional","DR, Ecuador, Peru"
Compania de Chocolate (Salgado),Ocumare,292,2008,70%,Argentina,3.75,Criollo,Venezuela
Ethereal,Dominican Republic,1275,2014,80%,U.S.A.,3.75, ,Dominican Republic
Claudio Corallo,Terreiro Velho P.,470,2010,73.50%,Sao Tome,3.75,Forastero,Sao Tome & Principe
Soma,Madagascar,387,2009,70%,Canada,3.75,Criollo,Madagascar
Soma,Ocumare,387,2009,70%,Canada,3.75,Criollo,Venezuela
Christopher Morel (Felchlin),"Maranon Canyon, Fortunato No. 4",666,2011,68%,Canada,3.75,Forastero (Nacional),Peru
Scharffen Berger,Cuyagua,135,2007,75%,U.S.A.,3.75, ,Venezuela
Scharffen Berger,Ben Tre,445,2009,72%,U.S.A.,3.75,Trinitario,Vietnam
Fossa,"Kokoa Kamili Coop, Kilombero",1776,2016,67%,Singapore,3.75,Trinitario,Tanzania
Franceschi,Ocumare,1355,2014,70%,Venezuela,3.75, ,Venezuela
Franceschi,Canoabo,911,2012,70%,Venezuela,3.75, ,Venezuela
Scharffen Berger,Tome Acu,336,2009,68%,U.S.A.,3.75, ,Brazil
Spencer,Dominican Republic,1932,2017,70%,U.S.A.,3.75, ,Dominican Republic
Scharffen Berger,Amina,464,2010,65%,U.S.A.,3.75,"Trinitario, Criollo",Madagascar
Fresco,"Conacado, #224, MR, MC",1081,2013,72%,U.S.A.,3.75, ,Dominican Republic
Dick Taylor,Lanquin Estate,1952,2017,70%,U.S.A.,3.75, ,Guatemala
Bar Au Chocolat,Sambirano,983,2012,70%,U.S.A.,3.75,Trinitario,Madagascar
Mast Brothers,"La Red de Guanconejo, N. Highlands coop",777,2011,74%,U.S.A.,3.75, ,Dominican Republic
Ocelot,Virunga,1558,2015,70%,Scotland,3.75,Forastero,Congo
Obolo,"Pangoa, w/ nibs",1638,2015,70%,Chile,3.75,Criollo,Peru
Obolo,Pangoa,1638,2015,70%,Chile,3.75,Criollo,Peru
Nuance,La Red,1470,2015,70%,U.S.A.,3.75, ,Dominican Republic
Amano,Ocumare,175,2007,70%,U.S.A.,3.75,Criollo,Venezuela
Lonohana,"Haleiwa E, O'ahu, 2014",1395,2014,75%,U.S.A.,3.75, ,Hawaii
Lonohana,"Haleiwa, O'ahu; Lonohana E., Kanahiku",1383,2014,70%,U.S.A.,3.75, ,Hawaii
Nuance,"Ghana, 2013",1454,2015,70%,U.S.A.,3.75,Forastero,Ghana
Mast Brothers,French Laundry 20th Anniversary,1359,2014,75%,U.S.A.,3.75,Blend,"Peru, Belize"
Amano,Dos Rios,470,2010,70%,U.S.A.,3.75, ,Dominican Republic
Lillie Belle,La Selva,903,2012,68%,U.S.A.,3.75, ,Peru
Batch,Brazil,1868,2016,70%,U.S.A.,3.75, ,Brazil
Askinosie,Davao,331,2009,77%,U.S.A.,3.75,Trinitario,Philippines
Matale,Blend,1181,2013,70%,Australia,3.75,Trinitario,"PNG, Vanuatu, Mad"
Zokoko,Guadalcanal,1716,2016,78%,Australia,3.75, ,Solomon Islands
Neuhaus (Callebaut),Manickchand Estate,230,2008,67%,Belgium,3.75,Trinitario,Trinidad
Videri,Dark,1117,2013,90%,U.S.A.,3.75, ,Central and S. America
Palette de Bine,Lam Dong,1574,2015,72%,Canada,3.75,Trinitario,Vietnam
Naive,"Maranon Canyon, Fortunato No. 4",1133,2013,78%,Lithuania,3.75,Forastero (Nacional),Peru
Naive,Trinidad & Tobago,1046,2013,70%,Lithuania,3.75, ,"Trinidad, Tobago"
Palette de Bine,Sambirano,1239,2014,78%,Canada,3.75,Trinitario,Madagascar
Zokoko,"Tranquilidad, Baures",701,2011,72%,Australia,3.75, ,Bolivia
Palette de Bine,Gran Couva,1399,2014,70%,Canada,3.75,Trinitario,Trinidad
Zotter,"Loma Los Pinos, Yacao region, D.R.",875,2012,62%,Austria,3.75, ,Dominican Republic
Pacari,Montubia,1415,2014,70%,Ecuador,3.75, ,Ecuador
Amedei,"Piura, Blanco de Criollo",979,2012,70%,Italy,3.75, ,Peru
Michel Cluizel,"Chiapas, Mokaya P.",963,2012,66%,France,3.75, ,Mexico
Artisan du Chocolat,"Colombia, Casa Luker",947,2012,72%,U.K.,3.75, ,Colombia
Arete,Rugoso,1904,2016,70%,U.S.A.,3.75, ,Nicaragua
Manufaktura Czekolady,Johe,1844,2016,70%,Poland,3.75, ,Nicaragua
Manoa,"Waiahole, O'ahu",1089,2013,72%,U.S.A.,3.75, ,Hawaii
Manufaktura Czekolady,Porcelana,1255,2014,70%,Poland,3.75,Criollo,Venezuela
Manoa,Coto Brus,1522,2015,72%,U.S.A.,3.75, ,Costa Rica
Mana,Conacado,821,2012,74%,U.S.A.,3.75, ,Dominican Republic
Arete,"Puerto Quito, heirloom",1534,2015,70%,U.S.A.,3.75,Forastero (Nacional),Ecuador
Omnom,"Kakao Kamili, Kilombero Valley",1816,2016,70%,Iceland,3.75,Trinitario,Tanzania
Arete,Kokoa Kamili,1724,2016,70%,U.S.A.,3.75, ,Tanzania
Arete,Maya Mountain,1598,2015,70%,U.S.A.,3.75,Trinitario,Belize
Wm,"Ghana, 2013, batch 129",1916,2016,75%,U.S.A.,3.75, ,Ghana
Willie's Cacao,Java,593,2010,69%,U.K.,3.75, ,Indonesia
Askinosie,Cortes,661,2011,70%,U.S.A.,3.75,Trinitario,Honduras
Maglio,Santo Domingo,308,2008,70%,Italy,3.75,"Blend-Forastero,Criollo",Dominican Republic
Artisan du Chocolat,Jamaica,531,2010,72%,U.K.,3.75,Trinitario,Jamaica
Original Beans (Felchlin),"Alto Beni, Wild Harvest, Itenez R. 24hr c.",733,2011,66%,Switzerland,3.75, ,Bolivia
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,75%,Brazil,3.75,Forastero (Parazinho),Brazil
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,50%,Brazil,3.75,Forastero (Parazinho),Brazil
Amedei,Venezuela,123,2007,70%,Italy,3.75,Trinitario (85% Criollo),Venezuela
Marou,"Dak Lak, Batch 2451",1650,2015,70%,Vietnam,3.75,Trinitario,Vietnam
Madecasse (Cinagra),Madagascar,284,2008,70%,Madagascar,3.75,Trinitario,Madagascar
Artisan du Chocolat,Congo,300,2008,72%,U.K.,3.75,Forastero,Congo
Askinosie,Mababa,1780,2016,68%,U.S.A.,3.75,Trinitario,Tanzania
Askinosie,"Tenende, Uwate",647,2011,72%,U.S.A.,3.75,Trinitario,Tanzania
Akesson's (Pralus),"Bali (west), Sukrama Family, Melaya area",636,2011,75%,Switzerland,3.75,Trinitario,Indonesia
Arete,Elvesia,1928,2016,70%,U.S.A.,3.75, ,Dominican Republic
A. Morin,Peru,797,2012,63%,France,3.75, ,Peru
K'ul,"Bahia, Fazenda Camboa",1852,2016,70%,U.S.A.,3.75,Forastero,Brazil
Benoit Nihant,"Somia Plantation, Sambirano, 70hr C",773,2011,72%,Belgium,3.75,Trinitario,Madagascar
La Maison du Chocolat (Valrhona),Orinoco,445,2009,60%,France,3.75, , 
A. Morin,Equateur,1011,2013,70%,France,3.75, ,Ecuador
Bittersweet Origins,Puerto Plata,233,2008,68%,U.S.A.,3.75, ,Dominican Republic
Patric,Signature Blend,636,2011,70%,U.S.A.,3.75,Blend, 
Pierre Marcolini,"Los Rios, Puerto Romero, Equateur",129,2007,72%,Belgium,3.75,Forastero (Nacional),Ecuador
Valrhona,Alpaco,370,2009,66%,France,3.75, ,Ecuador
Middlebury,"Patanemo, Epoch, Donaldo",1490,2015,75%,U.S.A.,3.75, ,Venezuela
Zotter,Peru,647,2011,70%,Austria,3.75, ,Peru
K'ul,"Los Rios, Hacienda Limon, Heirloom",1852,2016,70%,U.S.A.,3.75, ,Ecuador
A. Morin,Puerto Cabello,1319,2014,70%,France,3.75,Criollo,Venezuela
Valrhona,Tainori,327,2009,64%,France,3.75, ,Dominican Republic
Kerchner,"La Red, Project Reserva, Guaconejo",1133,2013,70%,U.S.A.,3.75, ,Dominican Republic
Middlebury,Oko Caribe,1490,2015,75%,U.S.A.,3.75, ,Dominican Republic
L.A. Burdick (Felchlin),Dominican Republic,576,2010,74%,U.S.A.,3.75, ,Dominican Republic
L.A. Burdick (Felchlin),Quito,682,2011,74%,U.S.A.,3.75, ,Ecuador
